country,id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Bahamas, The",044,2598000000,2692000000,3031000000,3373000000,3603000000,3923000000,4241000000,4669000000,4855000000,5473000000,5218000000,5128000000,5125000000,5097000000,5372000000,5653000000,5950000000,6332000000,6833000000,7684000000,8076000000,8318000000,8881000000,8870000000,9055000000,9836000000,10167000000,10618000000,10526000000,9982000000,10096000000,10070000000,10720000000,10396000000,10974000000,11672000000,11745000000,12237000000,12616000000,13016000000,9958000000,11369000000,13136000000,14338000000,14761000000,15178000000,15636000000,16153000000,16703000000,17280000000,17887000000
Bahrain,048,3745000000,4228000000,4445000000,4554000000,4727000000,4460000000,3490000000,3780000000,4672000000,4873000000,5176000000,5430000000,5673000000,6241000000,6683000000,7075000000,7357000000,7629000000,7293000000,7905000000,9448000000,9579000000,10001000000,11546000000,13709000000,16647000000,19291000000,22653000000,26803000000,23913000000,26806000000,29915000000,31963000000,33823000000,34773000000,32523000000,33885000000,37205000000,39568000000,40447000000,35838000000,40840000000,46458000000,46192000000,46943000000,47829000000,49628000000,52050000000,54672000000,57428000000,60365000000
Bangladesh,050,24775000000,26355000000,24678000000,23904000000,26817000000,28819000000,29639000000,32449000000,34914000000,38070000000,41068000000,42488000000,43292000000,43684000000,46438000000,51842000000,55445000000,57599000000,59879000000,61526000000,61687000000,62537000000,65036000000,71755000000,77152000000,79530000000,86028000000,95374000000,109765000000,122760000000,138094000000,154097000000,159749000000,179676000000,207102000000,233687000000,265236000000,293755000000,321379000000,351238000000,373902000000,416265000000,460201000000,451534000000,451096000000,467218000000,513121000000,557136000000,606807000000,672750000000,740875000000
Barbados,052,1048000000,1154000000,1205000000,1280000000,1395000000,1460000000,1603000000,1765000000,1877000000,2077000000,2084000000,2092000000,2015000000,2136000000,2227000000,2348000000,2515000000,2667000000,3057000000,3210000000,3312000000,3306000000,3364000000,3479000000,3754000000,4213000000,4702000000,5273000000,5401000000,5064000000,5138000000,5302000000,5233000000,5338000000,5366000000,5288000000,5331000000,5517000000,5630000000,5788000000,5168000000,5275000000,6257000000,6721000000,7167000000,7552000000,7942000000,8341000000,8755000000,9190000000,9645000000
Belarus,112,,,,,,,,,,,,,12800000000,11408000000,15687000000,10532000000,14494000000,14091000000,15215000000,12133000000,10785000000,12778000000,15092000000,18420000000,23928000000,31239000000,38219000000,46815000000,62798000000,50855000000,57220000000,61368000000,65669000000,75496000000,78736000000,56329000000,47703000000,54723000000,60011000000,64414000000,61312000000,68207000000,73735000000,71792000000,71180000000,71561000000,74691000000,77757000000,81144000000,84515000000,87879000000
Belgium,056,123479000000,102245000000,89959000000,85037000000,81237000000,84468000000,117063000000,145412000000,158098000000,159817000000,200150000000,205370000000,228733000000,218721000000,238623000000,288302000000,279292000000,253022000000,258876000000,258503000000,236897000000,236748000000,258200000000,318004000000,369047000000,385927000000,408281000000,470978000000,517271000000,484488000000,481949000000,527106000000,498731000000,524106000000,538127000000,461091000000,474141000000,500733000000,542885000000,536787000000,529269000000,598892000000,593906000000,644968000000,664965000000,684864000000,706834000000,725385000000,746660000000,768493000000,791414000000
Belize,084,229000000,238000000,238000000,251000000,280000000,278000000,303000000,354000000,418000000,482000000,547000000,597000000,696000000,753000000,772000000,819000000,851000000,873000000,929000000,1000000000,1139000000,1173000000,1245000000,1309000000,1401000000,1475000000,1591000000,1707000000,1739000000,1688000000,1746000000,1827000000,1909000000,2033000000,2138000000,2193000000,2240000000,2266000000,2293000000,2388000000,2043000000,2421000000,2847000000,3067000000,3427000000,3611000000,3755000000,3893000000,4029000000,4165000000,4302000000
Benin,204,2302000000,1557000000,1542000000,1365000000,1456000000,1580000000,2036000000,2430000000,2552000000,2370000000,2890000000,2954000000,3284000000,3199000000,2227000000,2993000000,3251000000,3124000000,3362000000,3681000000,3522000000,3666000000,4191000000,5348000000,6187000000,6571000000,7034000000,8170000000,9787000000,9728000000,9543000000,10691000000,11148000000,12518000000,13288000000,11389000000,11818000000,12697000000,14257000000,14392000000,15674000000,17699000000,17439000000,19679000000,21249000000,22236000000,24067000000,26048000000,28152000000,30451000000,32917000000
Bhutan,064,132000000,143000000,150000000,162000000,168000000,174000000,197000000,238000000,273000000,272000000,293000000,254000000,248000000,260000000,263000000,308000000,324000000,362000000,398000000,418000000,454000000,474000000,517000000,616000000,700000000,818000000,876000000,1071000000,1353000000,1274000000,1528000000,1880000000,1967000000,1999000000,1963000000,2159000000,2252000000,2462000000,2651000000,2618000000,2586000000,2623000000,2869000000,2923000000,3092000000,3422000000,3802000000,4157000000,4563000000,5071000000,5543000000
Bolivia,068,3589000000,3440000000,3813000000,3609000000,3752000000,4059000000,3970000000,4323000000,4598000000,4716000000,4868000000,5335000000,5635000000,5724000000,5974000000,6707000000,7385000000,7919000000,8490000000,8269000000,8385000000,8155000000,7917000000,8092000000,8785000000,9573000000,11520000000,13216000000,16792000000,17464000000,19786000000,24135000000,27282000000,30883000000,33237000000,33241000000,34189000000,37782000000,40581000000,41193000000,36897000000,40701000000,44329000000,45464000000,48404000000,56339000000,65851000000,,,,
